Wavelength,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600
nm,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts
499.349,1039,1040,1037,1040,1040,1038,1038,1041,1046,1041,1041,1041,1049,1045,1042,1043,1049,1048,1046,1047,1047,1046,1051,1042,1044,1060,1048,1049,1048,1046,1052,1048,1053,1049,1052,1053,1050,1051,1050,1056,1060,1064,1052,1059,1056,1055,1056,1056,1058,1405,2561,1497,1057,1056,1059,1062,1060,1056,1062,1063,1059,1063,1063,1060,1067,1063,1063,1056,1066,1067,1075,1065,1065,1072,1072,1062,1072,1074,1071,1067,1069,1071,1068,1069,1064,1066,1059,1057,1054,1060,1055,1049,1049,1049,1043,1044,1042,1043,1043,1038,1043,1034,1038,1036,1036,1039,1038,1036,1043,1033,1039,1033,1036,1038,1035,1033,1031,1035,1036,1036,1031,1036,1037,1036,1036,1037,1031,1035,1031,1038,1037,1035,1034,1038,1034,1033,1036,1032,1036,1030,1037,1033,1032,1034,1037,1037,1038,1034,1035,1032,1037
499.478,1004,1010,1007,1008,1009,1004,1007,1009,1006,1011,1007,1006,1008,1012,1016,1011,1011,1019,1014,1018,1009,1010,1014,1018,1018,1032,1022,1015,1014,1017,1017,1021,1021,1024,1017,1021,1023,1024,1017,1024,1026,1022,1035,1028,1024,1024,1028,1026,1029,1265,2511,1680,1024,1027,1028,1028,1029,1023,1027,1032,1033,1024,1033,1036,1032,1037,1038,1031,1038,1042,1035,1039,1039,1047,1033,1044,1036,1036,1036,1038,1040,1034,1032,1038,1030,1026,1024,1026,1020,1024,1018,1017,1013,1019,1012,1009,1017,1011,1006,1008,1011,1009,1005,1005,1003,1004,1006,1004,1004,1001,1001,1000,999,1004,998,1003,1002,1001,1005,1001,1005,1003,1000,1005,1002,1006,999,1004,1007,1000,1002,1001,1000,1004,998,1004,1000,1005,999,1003,1006,1007,1006,1004,1005,1001,1001,1004,1001,1006,1005
499.607,1013,1006,1009,1010,1009,1012,1008,1009,1012,1011,1007,1006,1014,1011,1009,1015,1011,1011,1013,1013,1009,1011,1015,1016,1015,1017,1017,1010,1010,1016,1013,1017,1021,1019,1022,1015,1022,1018,1014,1021,1016,1020,1022,1026,1021,1022,1023,1022,1029,1184,2382,1841,1029,1026,1028,1031,1028,1028,1024,1026,1023,1027,1029,1026,1025,1034,1032,1032,1033,1041,1034,1037,1035,1033,1044,1038,1040,1038,1040,1038,1038,1040,1035,1032,1029,1031,1026,1028,1021,1021,1018,1020,1014,1009,1007,1011,1008,1013,1005,1005,1004,1008,1007,1006,1004,1003,999,1006,1000,1000,1004,1002,999,999,1002,1005,999,999,1004,1000,999,1002,999,1003,1002,1003,1000,1000,1001,1005,1001,1003,1003,1001,998,1001,1001,1004,1000,1005,1004,999,1000,1001,999,1000,1004,999,1001,1002,1002
499.736,1006,1000,1003,1003,1000,1004,1002,1004,998,998,1003,1009,1002,1005,1004,1004,1012,1008,1011,1007,1004,1005,1000,1010,1014,1015,1008,1010,1013,1010,1005,1014,1014,1016,1010,1017,1016,1017,1010,1016,1014,1017,1018,1019,1019,1021,1024,1020,1027,1125,2220,2038,1049,1018,1024,1023,1021,1016,1024,1031,1022,1024,1023,1033,1036,1026,1023,1027,1026,1028,1041,1036,1037,1033,1032,1028,1045,1038,1041,1031,1032,1023,1031,1023,1024,1021,1024,1023,1013,1016,1009,1010,1015,1010,1004,1008,1005,1002,1000,1001,1002,1002,1005,999,993,997,1001,1000,995,997,992,996,1000,1001,997,998,997,1001,993,1000,996,1000,998,997,999,997,996,997,995,997,997,999,998,991,995,996,998,1000,996,999,996,1001,997,999,998,997,993,997,996,999,997
499.866,1000,999,1003,999,1001,1000,1003,994,1003,996,1005,1002,1002,1000,1005,1007,1000,1011,1009,1008,1012,1004,1008,1007,1010,1002,1010,1009,1006,1010,1012,1012,1011,1012,1009,1009,1009,1014,1006,1009,1013,1011,1019,1022,1016,1020,1021,1017,1026,1074,2055,2289,1069,1016,1020,1018,1018,1016,1018,1020,1019,1023,1025,1024,1031,1031,1035,1028,1032,1026,1035,1034,1039,1032,1039,1026,1038,1034,1031,1031,1014,1033,1030,1026,1029,1017,1022,1015,1017,1013,1016,1005,1009,1005,1009,1003,1006,997,1002,1000,996,1002,1001,994,996,996,994,999,995,997,997,993,996,1002,998,995,995,996,995,997,996,997,997,994,998,995,995,992,996,994,995,998,997,997,994,997,996,996,994,993,997,998,994,996,999,994,994,995,993,996,996
499.995,1000,999,998,1001,996,1002,994,1000,1003,1001,999,1005,1003,1000,1000,1008,1010,1004,1010,1003,1005,1002,1000,1007,1016,1010,1013,1009,1006,1007,1015,1010,1005,1006,1014,1016,1005,1016,1018,1016,1023,1016,1024,1022,1025,1018,1013,1012,1015,1044,1854,2399,1125,1014,1017,1018,1023,1019,1023,1025,1020,1032,1016,1033,1025,1028,1031,1027,1038,1038,1035,1024,1034,1033,1033,1030,1037,1027,1029,1038,1028,1029,1026,1024,1026,1023,1021,1023,1017,1011,1012,1013,1010,1006,1011,1006,1007,1004,1004,995,1000,997,1001,995,1002,1000,1002,997,995,993,994,998,994,992,995,1000,991,994,995,997,996,991,994,997,995,993,995,989,995,999,994,994,993,995,996,995,994,996,998,994,993,992,996,997,995,994,992,996,991,993,993
500.124,1003,995,1002,1003,999,1003,999,1003,999,999,1001,999,1002,1004,1006,1008,1009,1007,1005,1008,1006,1011,1006,1006,1013,1010,1010,1005,1004,1011,1010,1011,1014,1014,1008,1015,1018,1011,1014,1012,1019,1023,1018,1022,1016,1015,1020,1017,1018,1026,1686,2487,1209,1021,1017,1020,1023,1019,1024,1022,1024,1021,1025,1022,1037,1031,1034,1026,1039,1035,1034,1036,1035,1032,1037,1033,1036,1032,1031,1041,1033,1029,1035,1023,1021,1020,1017,1023,1020,1020,1011,1016,1009,1011,1001,1006,1003,999,997,997,997,1001,994,995,996,999,995,995,998,996,998,993,994,991,992,994,999,998,996,996,990,994,995,994,992,996,996,996,996,994,999,995,995,991,992,993,996,995,993,997,995,993,996,996,996,992,996,996,992,996,992
500.253,1001,1003,994,998,1000,1001,997,1004,1006,1002,1000,1000,1000,1004,1004,1007,1008,1010,1011,1009,1007,1006,1006,1009,1009,1004,1018,1013,1008,1010,1009,1012,1007,1013,1015,1013,1015,1014,1016,1018,1018,1015,1018,1023,1016,1017,1023,1018,1020,1024,1538,2491,1319,1016,1022,1020,1022,1024,1022,1022,1026,1024,1026,1027,1035,1027,1036,1039,1034,1037,1040,1032,1036,1036,1034,1027,1036,1033,1028,1034,1032,1033,1032,1024,1027,1024,1031,1016,1018,1018,1013,1016,1013,1007,1006,1000,1004,1005,1000,1004,1000,1002,996,996,997,993,998,991,994,996,995,995,996,995,995,996,996,990,990,992,993,993,996,998,994,993,992,995,995,1000,989,996,992,995,996,993,995,993,993,993,995,996,992,994,993,990,992,989,999,996,994
