Wavelength,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600
nm,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts,Counts
499.349,1043,1043,1043,1039,1037,1047,1042,1039,1039,1040,1041,1050,1045,1043,1044,1046,1047,1048,1050,1045,1045,1045,1047,1048,1047,1048,1044,1048,1050,1051,1043,1046,1051,1045,1050,1053,1048,1053,1051,1049,1051,1058,1060,1058,1062,1050,1056,1053,1055,1108,1240,1127,1057,1055,1054,1062,1066,1061,1065,1062,1059,1071,1054,1065,1065,1068,1062,1062,1075,1071,1072,1064,1074,1062,1075,1076,1068,1066,1074,1066,1067,1067,1060,1058,1062,1050,1054,1054,1054,1055,1053,1049,1048,1046,1052,1046,1048,1042,1045,1039,1037,1039,1041,1038,1034,1036,1039,1036,1038,1038,1037,1038,1038,1033,1038,1035,1034,1037,1031,1037,1031,1035,1037,1035,1036,1036,1037,1036,1033,1032,1036,1039,1036,1033,1033,1036,1031,1033,1033,1035,1036,1033,1038,1033,1035,1034,1039,1039,1034,1034,1038
499.478,1008,1012,1006,1010,1011,1010,1009,1010,1011,1007,1010,1007,1012,1009,1010,1010,1011,1012,1016,1015,1013,1008,1014,1013,1019,1009,1014,1017,1018,1009,1018,1016,1021,1019,1016,1023,1016,1014,1024,1023,1024,1019,1025,1024,1019,1020,1021,1024,1025,1055,1210,1107,1024,1031,1028,1025,1018,1029,1028,1021,1029,1028,1029,1035,1036,1032,1038,1035,1034,1038,1038,1032,1046,1042,1044,1032,1037,1039,1030,1035,1040,1040,1033,1033,1036,1030,1029,1025,1026,1023,1021,1016,1018,1016,1016,1013,1012,1007,1009,1010,1007,1005,1004,1001,1004,1004,1004,1002,1000,1003,1005,1008,1005,1000,1001,1003,1005,1001,1004,1004,1004,1003,1002,999,1001,1003,1005,1003,1000,1004,1006,1004,1003,1000,1006,1003,1003,1003,1000,998,1002,1006,1004,1005,1003,1003,1004,1003,1000,1001,1004
499.607,1006,1009,1013,1006,1000,1004,1011,1008,1007,1007,1012,1007,1013,1011,1009,1014,1012,1010,1011,1012,1018,1014,1010,1017,1013,1013,1016,1013,1011,1012,1013,1017,1019,1022,1018,1015,1020,1021,1023,1018,1019,1019,1026,1025,1023,1022,1025,1024,1021,1045,1183,1132,1027,1028,1026,1024,1023,1021,1033,1023,1034,1030,1032,1034,1026,1035,1033,1037,1034,1038,1038,1040,1037,1040,1034,1046,1039,1032,1034,1036,1040,1037,1036,1038,1031,1026,1030,1022,1018,1016,1021,1020,1017,1017,1011,1015,1013,1010,1006,1009,1009,1004,1005,1003,1002,1004,998,1000,1005,1002,1001,1004,1004,1004,1004,1004,1000,1002,1001,1000,1004,1001,1001,1001,1004,1002,1002,1004,1002,999,1003,1004,1004,1002,1000,1002,1002,1006,998,1000,1002,1001,1003,1006,1002,1000,1004,998,1002,1000,1002
499.736,1003,1002,1001,1001,1001,1005,1005,1006,1006,1006,1002,1000,1005,1007,1007,1007,1004,1010,1008,1010,1010,1011,1008,1011,1007,1006,1008,1003,1005,1008,1008,1016,1008,1013,1014,1014,1011,1011,1017,1014,1014,1016,1019,1012,1016,1013,1015,1017,1017,1028,1168,1143,1034,1024,1023,1022,1023,1024,1020,1025,1018,1022,1027,1021,1026,1030,1021,1032,1037,1028,1035,1030,1039,1030,1038,1040,1038,1034,1036,1036,1030,1027,1025,1028,1029,1022,1023,1018,1014,1015,1018,1012,1013,1009,1009,1006,1003,1008,1004,1001,1005,1005,999,1002,995,999,999,998,1000,1000,997,995,998,995,996,996,997,996,993,996,996,1002,993,998,994,994,993,996,997,996,997,996,998,996,995,997,996,995,996,993,998,996,993,992,997,996,997,1003,1001,997,996
499.866,1006,1002,1000,1006,1006,1001,1001,999,1002,1002,1002,1003,1009,1008,1004,998,1007,1002,1009,1006,1005,1002,1008,1007,1008,1005,1010,1010,1010,1012,1012,1016,1014,1010,1010,1014,1010,1012,1012,1014,1015,1019,1017,1016,1018,1020,1014,1017,1018,1025,1145,1177,1027,1016,1022,1019,1022,1016,1024,1025,1029,1024,1031,1027,1030,1027,1034,1033,1028,1030,1031,1035,1033,1030,1035,1035,1031,1032,1031,1022,1031,1025,1023,1032,1025,1028,1023,1018,1014,1016,1016,1006,1011,1009,1003,1002,1004,1007,1002,998,998,999,1002,1003,998,1000,999,994,999,996,997,996,996,994,997,1000,998,996,996,996,991,998,994,995,995,993,996,995,993,996,997,996,997,999,998,998,994,999,994,992,995,995,999,995,997,992,995,997,995,998,994
499.995,1006,998,1004,1002,995,1002,1002,998,999,1001,1004,1003,1001,1002,1003,1007,1006,1004,1008,1009,1009,1004,1005,1009,1006,1006,1016,1006,1006,1004,1012,1007,1014,1014,1011,1008,1016,1013,1011,1014,1014,1017,1019,1017,1018,1021,1020,1016,1017,1021,1114,1188,1027,1022,1020,1026,1016,1024,1024,1023,1020,1025,1021,1029,1030,1020,1036,1028,1026,1028,1024,1033,1038,1030,1036,1026,1037,1023,1032,1026,1028,1028,1025,1028,1018,1022,1018,1019,1012,1015,1014,1016,1011,1011,1005,999,1006,1003,1005,1000,998,1000,1003,1000,998,999,992,999,994,993,997,1000,995,995,997,990,997,996,995,995,994,994,995,995,996,993,993,995,993,998,994,994,997,991,993,992,996,995,992,989,997,996,992,993,989,992,992,993,993,996,997
500.124,998,1005,1001,1001,1003,1000,1002,997,1003,999,1002,1001,1001,1003,1009,1010,1008,1010,1000,1005,1001,1002,1008,1008,1006,1008,1013,1008,1007,1005,1014,1020,1008,1016,1016,1009,1017,1016,1011,1009,1011,1017,1017,1018,1015,1018,1018,1012,1018,1019,1098,1216,1045,1012,1024,1024,1018,1018,1023,1018,1024,1021,1027,1023,1026,1042,1026,1032,1025,1030,1031,1038,1038,1034,1030,1040,1034,1032,1022,1035,1032,1037,1024,1032,1021,1020,1020,1025,1021,1012,1011,1016,1012,1006,1007,1013,1001,1005,1003,1005,1001,999,998,999,1001,998,996,994,995,996,996,998,993,992,991,993,993,995,991,994,995,996,991,993,993,993,992,993,996,992,994,995,995,995,994,992,993,994,998,992,993,997,993,991,991,993,995,996,998,991,994
500.253,997,1005,1006,1001,995,1000,1001,1001,1002,1001,1005,1001,1002,1002,1003,1005,1008,1005,1006,1007,1006,1004,1013,1006,1008,1006,1005,1010,1010,1004,1012,1017,1004,1013,1013,1009,1010,1012,1013,1018,1015,1020,1015,1018,1021,1017,1022,1022,1011,1020,1079,1209,1062,1024,1024,1018,1015,1024,1026,1025,1026,1024,1037,1029,1025,1033,1026,1033,1030,1030,1038,1032,1036,1032,1030,1036,1036,1030,1036,1039,1027,1028,1021,1028,1021,1027,1018,1018,1012,1016,1010,1008,1012,1012,1001,1007,1007,1003,999,1000,1000,996,995,997,997,995,993,992,995,994,995,994,994,994,995,992,996,992,996,990,995,993,992,993,992,993,994,993,991,994,992,991,998,995,993,996,996,994,996,993,991,999,993,992,990,998,995,995,992,995,992
